Library,Count
libglib-2.0.so.0,1
libgomp.so.1,1
libQt6Gui.so.6,1
libexpat.so.1,1
libdbus-1.so.3,1
liblz4.so.1,1
libicuuc.so.74,1
libGLU.so.1,1
libgpg-error.so.0,1
libpng16.so.16,1
libharfbuzz.so.0,1
libcap.so.2,1
libmd4c.so.0,1
libdouble-conversion.so.3,1
libxkbcommon.so.0,1
libbrotlicommon.so.1,1
libEGL.so.1,1
libsystemd.so.0,1
libz.so.1,1
libicudata.so.74,1
libpcre2-16.so.0,1
libb2.so.1,1
libQt6Core5Compat.so.6,1
libQt6DBus.so.6,1
libicui18n.so.74,1
liblzma.so.5,1
libfreetype.so.6,1
libpcre2-8.so.0,1
libgraphite2.so.3,1
libQt6Core.so.6,1
libOpenGL.so.0,1
libzstd.so.1,1
libbrotlidec.so.1,1
libQt6Widgets.so.6,1
libmetis.so,1
libQt6OpenGLWidgets.so.6,1
libQt6OpenGL.so.6,1
libbz2.so.1.0,1
libgcrypt.so.20,1
libQt6Charts.so.6,1
libfontconfig.so.1,1
libxcb.so.1,2
libGL.so.1,2
libbsd.so.0,2
libGLX.so.0,2
libtbb.so.12,2
libXau.so.6,2
libmd.so.0,2
libGLdispatch.so.0,2
libXdmcp.so.6,2
libX11.so.6,2
ld-linux-x86-64.so.2,9
libstdc++.so.6,9
libm.so.6,9
libc.so.6,9
libgcc_s.so.1,9
